mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
2W,D1,AUDNZD,short,2024-11-04,2024-11-18,1.10153,1.11806,0.016530000000000156,2024-11-28,2024-11-29,1.10451,1.1046,2024-12-12,1.10398,1.0849999999999997,1.119713,2025-04-04,1.0849999999999997,win,1.2063814911333008
2W,D1,AUDUSD,long,2018-06-18,2018-07-02,0.73106,0.7407,0.009639999999999982,2018-07-11,2018-07-12,0.736,0.73638,2018-07-18,0.73976,0.75034,0.7300960000000001,2018-08-10,0.7300960000000001,loss,-1.0
2W,D1,AUDUSD,long,2021-07-19,2021-08-02,0.72896,0.73438,0.00541999999999998,2021-08-12,2021-08-13,0.7332,0.73334,2021-08-16,0.73374,0.7398,0.728418,2021-08-17,0.728418,loss,-1.0
2W,D1,AUDUSD,long,2021-08-16,2021-08-30,0.71064,0.73139,0.020749999999999935,2021-08-30,2021-08-31,0.72846,0.72882,2021-09-16,0.72927,0.7521399999999999,0.7085650000000001,2021-10-20,0.7521399999999999,win,1.104564114948085
2W,D1,CADCHF,long,2015-08-17,2015-08-31,0.69711,0.729055,0.031945,2015-09-01,2015-09-02,0.72257,0.723115,2015-09-29,0.723985,0.761,0.6939155,2015-11-17,0.761,win,1.230981559387421
2W,D1,CADCHF,long,2018-06-18,2018-07-02,0.73967,0.75416,0.014490000000000003,2018-07-02,2018-07-03,0.75205,0.75288,2018-07-19,0.75309,0.76865,0.738221,2018-09-05,0.738221,loss,-1.0
2W,D1,CADCHF,long,2019-11-25,2019-12-09,0.74101,0.74725,0.006240000000000023,2019-12-19,2019-12-20,0.74427,0.74444,2019-12-24,0.74462,0.75349,0.7386669798657717,2020-01-15,0.7386669798657717,loss,-1.0
2W,D1,CADCHF,long,2020-04-13,2020-04-27,0.68032,0.69012,0.00979999999999992,2020-05-06,2020-05-07,0.68776,0.68859,2020-05-12,0.6886,0.6999199999999999,0.67934,2020-05-19,0.6999199999999999,win,1.2224622030237544
2W,D1,CADCHF,short,2016-05-09,2016-05-23,0.755105,0.76732,0.012214999999999976,2016-06-02,2016-06-03,0.75736,0.75874,2016-06-06,0.757255,0.74289,0.7685415,2016-06-16,0.74289,win,1.272759491427811
2W,D1,CADCHF,short,2020-03-30,2020-04-13,0.6923,0.69806,0.005759999999999987,2020-04-23,2020-04-24,0.6951,0.69569,2020-04-27,0.69502,0.68654,0.7007112751677852,2020-04-29,0.7007112751677852,loss,-1.0
2W,D1,CADCHF,short,2021-05-10,2021-05-24,0.74402,0.75228,0.008259999999999934,2021-06-03,2021-06-04,0.74711,0.74793,2021-06-23,0.74619,0.7357600000000001,0.75319,2021-07-08,0.7357600000000001,win,1.49
2W,D1,CADJPY,long,2015-10-12,2015-10-26,90.59,92.248,1.6580000000000013,2015-11-02,2015-11-03,91.926,91.9365,2015-11-13,92.009,93.906,90.4242,2015-12-08,90.4242,loss,-1.0
2W,D1,CADJPY,long,2016-06-20,2016-07-04,76.182,79.426,3.2439999999999998,2016-07-08,2016-07-11,76.776,76.994,2016-08-05,77.302,82.67,73.69931543624162,2016-11-21,82.67,win,1.49
2W,D1,CADJPY,short,2015-04-27,2015-05-11,99.192,100.094,0.902000000000001,2015-05-20,2015-05-21,99.504,99.515,2015-05-27,99.3105,98.28999999999999,100.18419999999999,2015-06-02,100.18419999999999,loss,-1.0
2W,D1,CHFJPY,long,2021-11-08,2021-11-22,122.137,122.806,0.6689999999999969,2021-12-01,2021-12-02,122.494,122.518,2021-12-06,122.636,123.475,122.0701,2021-12-08,123.475,win,1.4825940978971548
2W,D1,CHFJPY,long,2024-01-29,2024-02-12,169.282,170.656,1.3739999999999952,2024-02-13,2024-02-14,169.424,169.462,2024-03-01,169.977,172.03,168.59914765100672,2024-03-07,168.59914765100672,loss,-1.0
2W,D1,CHFJPY,short,2020-12-07,2020-12-21,116.987,117.761,0.7740000000000009,2020-12-29,2020-12-30,117.26,117.287,2021-01-04,117.062,116.213,117.8384,2021-01-29,117.8384,loss,-1.0
2W,D1,CHFJPY,short,2022-12-05,2022-12-19,146.362,148.539,2.1769999999999925,2022-12-19,2022-12-20,147.431,147.8,2023-03-10,146.642,144.185,148.7567,2023-03-15,144.185,win,1.16186693147964
2W,D1,EURAUD,short,2021-08-16,2021-08-30,1.61292,1.64366,0.03073999999999999,2021-08-30,2021-08-31,1.61909,1.61955,2021-09-20,1.61682,1.58218,1.646734,2021-10-07,1.58218,win,1.1579862271845962
2W,D1,EURAUD,short,2022-05-09,2022-05-23,1.49806,1.52797,0.029910000000000103,2022-05-26,2022-05-27,1.51402,1.51654,2022-06-17,1.51312,1.4681499999999998,1.5433012080536914,2022-07-22,1.4681499999999998,win,1.49
2W,D1,EURAUD,short,2022-10-10,2022-10-24,1.54474,1.57068,0.025940000000000074,2022-10-28,2022-10-31,1.55688,1.55736,2022-11-09,1.55682,1.5188,1.58233677852349,2022-12-15,1.58233677852349,loss,-1.0
2W,D1,EURCAD,long,2015-04-13,2015-04-27,1.30247,1.324905,0.022434999999999983,2015-04-27,2015-04-28,1.3132,1.314535,2022-07-08,1.31786,1.34734,1.2980747651006712,2022-07-13,1.2980747651006712,loss,-1.0
2W,D1,EURCAD,long,2024-11-18,2024-12-02,1.44862,1.47866,0.030040000000000067,2024-12-02,2024-12-03,1.47236,1.47238,2025-01-13,1.47294,1.5087000000000002,1.445616,2025-01-27,1.5087000000000002,win,1.3087395696091482
2W,D1,EURCAD,short,2015-04-27,2015-05-11,1.35329,1.380545,0.027254999999999807,2015-05-21,2015-05-22,1.363185,1.36697,2015-05-28,1.361375,1.3260350000000003,1.385093120805369,2015-06-02,1.385093120805369,loss,-1.0
2W,D1,EURCAD,short,2018-08-27,2018-09-10,1.52065,1.53712,0.016469999999999985,2018-09-10,2018-09-11,1.5293,1.52934,2018-09-26,1.52851,1.50418,1.5448388590604027,2018-09-28,1.50418,win,1.49
2W,D1,EURCAD,short,2020-04-13,2020-04-27,1.52629,1.55338,0.02709000000000006,2020-05-06,2020-05-07,1.52989,1.53071,2020-05-21,1.52797,1.4991999999999999,1.556089,2020-07-20,1.556089,loss,-1.0
