mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
3D,ALL,H4,H4,EURJPY,short,2015-07-09,2015-07-14,135.7885,137.803,2.014499999999998,2015-07-15 05:00:00,2015-07-15 09:00:00,136.337,136.3825,2015-07-23 09:00:00,136.0515,133.774,138.00445,2015-08-11 09:00:00,138.00445,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,151.0045454545456,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDUSD,long,2015-07-14,2015-07-17,0.7328,0.74047,0.007669999999999955,2015-07-21 01:00:00,2015-07-21 05:00:00,0.73414,0.734855,2015-07-23 21:00:00,0.73558,0.7481399999999999,0.7258248484848485,2015-07-28 01:00:00,0.7258248484848485,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,97.55151515151512,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,GBPNZD,long,2015-07-17,2015-07-22,2.32966,2.34842,0.018759999999999888,2015-07-23 05:00:00,2015-07-23 09:00:00,2.32966,2.329745,2015-07-28 05:00:00,2.33708,2.36718,2.3094565909090905,2015-07-30 09:00:00,2.36718,win,1.08965551286376,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,276.2340909090911,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,NZDUSD,short,2015-07-17,2015-07-22,0.662415,0.66954,0.007125000000000048,2015-07-23 05:00:00,2015-07-23 09:00:00,0.66933,0.66954,2015-07-28 13:00:00,0.66876,0.6552899999999999,0.6791215384615386,2015-07-31 05:00:00,0.6552899999999999,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,91.6234848484848,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,NZDJPY,short,2015-07-17,2015-07-22,82.069,82.8685,0.7994999999999948,2015-07-23 05:00:00,2015-07-23 09:00:00,82.8475,82.8685,2015-07-28 13:00:00,82.653,81.26950000000001,83.71723076923077,2015-07-31 09:00:00,81.26950000000001,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,94.14999999999998,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,GBPCAD,short,2015-07-22,2015-07-27,2.02338,2.039085,0.01570500000000008,2015-07-28 05:00:00,2015-07-28 09:00:00,2.0303,2.03252,2015-07-30 09:00:00,2.02855,2.007675,2.0455026515151515,2015-07-31 17:00:00,2.0455026515151515,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,169.5265151515151,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,GBPNZD,short,2015-07-22,2015-07-27,2.35879,2.381285,0.022495000000000154,2015-07-22 17:00:00,2015-07-22 21:00:00,2.376865,2.377225,2015-07-31 05:00:00,2.37668,2.336295,2.4077453846153847,2015-08-07 17:00:00,2.336295,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,281.7575757575757,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,EURAUD,short,2015-07-22,2015-07-27,1.50814,1.527735,0.01959500000000003,2015-07-29 05:00:00,2015-07-29 09:00:00,1.513585,1.51445,2015-07-31 09:00:00,1.512615,1.488545,1.5311303846153848,2015-08-04 05:00:00,1.488545,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,173.6378787878787,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,EURCHF,short,2015-07-27,2015-07-30,1.063045,1.06899,0.005945000000000089,2015-07-27 17:00:00,2015-07-27 21:00:00,1.067895,1.06899,2015-08-05 13:00:00,1.06689,1.0571,1.074420769230769,2015-08-07 09:00:00,1.074420769230769,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,74.06742424242434,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,AUDJPY,long,2015-08-07,2015-08-12,90.36,91.3855,1.0254999999999939,2015-08-13 09:00:00,2015-08-13 13:00:00,91.155,91.289,2015-08-18 05:00:00,91.3205,92.41099999999999,90.25745,2015-08-20 05:00:00,90.25745,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,97.3272727272728,1.0,30,0.9,1.3,1
