mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file
W,ALL,H1,H12,NZDCHF,long,2024-01-01,2024-01-08,0.52812,0.53107,0.002950000000000008,2024-01-08 15:00:00,2024-01-08 16:00:00,0.52812,0.5282,2024-01-16 10:00:00,0.52886,0.53402,0.52386,2024-02-07 10:00:00,0.53402,win,1.0320000000000107,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,NZDCHF,long,2024-02-26,2024-03-04,0.53456,0.5393,0.0047399999999999665,2024-02-29 15:00:00,2024-02-29 16:00:00,0.53588,0.5364,2024-03-18 21:00:00,0.53665,0.54404,0.53165,2024-03-20 21:00:00,0.54404,win,1.4780000000000015,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,NZDCHF,short,2024-04-08,2024-04-15,0.54301,0.54959,0.00658000000000003,2024-04-12 07:00:00,2024-04-12 08:00:00,0.54582,0.54622,2024-05-03 09:00:00,0.54405,0.53643,0.5502480000000001,2024-05-15 09:00:00,0.5502480000000001,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,NZDJPY,short,2024-03-18,2024-03-25,90.751,92.204,1.4529999999999887,2024-03-21 10:00:00,2024-03-21 11:00:00,92.008,92.013,2024-04-09 09:00:00,91.96,89.29800000000002,93.74657718120804,2024-04-26 09:00:00,93.74657718120804,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,NZDJPY,short,2024-04-01,2024-04-08,91.18,92.391,1.2109999999999985,2024-04-12 11:00:00,2024-04-12 12:00:00,91.345,91.416,2024-04-16 21:00:00,91.327,89.96900000000001,92.5121,2024-04-18 21:00:00,89.96900000000001,win,1.1458948611931343,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,NZDUSD,long,2024-02-12,2024-02-19,0.60498,0.61248,0.007500000000000062,2024-02-14 13:00:00,2024-02-14 14:00:00,0.60728,0.6073,2024-03-04 22:00:00,0.6075,0.6199800000000001,0.5991241610738255,2024-03-08 10:00:00,0.6199800000000001,win,1.49,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,USDCAD,short,2024-02-26,2024-03-04,1.35604,1.36061,0.004570000000000185,2024-03-05 08:00:00,2024-03-05 09:00:00,1.36032,1.36053,2024-03-19 09:00:00,1.35666,1.3514699999999997,1.3616599999999999,2024-03-20 09:00:00,1.3514699999999997,win,1.03800000000005,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,USDCAD,short,2024-04-29,2024-05-06,1.36854,1.3785,0.009959999999999969,2024-05-09 06:00:00,2024-05-09 07:00:00,1.37372,1.3738,2024-05-23 09:00:00,1.37299,1.3585800000000001,1.382661140939597,2024-07-24 21:00:00,1.382661140939597,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,USDCHF,short,2024-01-15,2024-01-22,0.86818,0.87285,0.004670000000000063,2024-01-23 18:00:00,2024-01-23 19:00:00,0.87178,0.87193,2024-02-05 10:00:00,0.87073,0.8635099999999999,0.87573,2024-02-08 10:00:00,0.87573,loss,-1.0,wickdiffs_W_H1_ALL_20251228_173936.csv
W,ALL,H1,H12,USDJPY,long,2024-01-22,2024-01-29,145.898,148.168,2.2700000000000102,2024-02-02 14:00:00,2024-02-02 15:00:00,147.684,147.828,2024-02-06 10:00:00,147.95,150.43800000000002,145.671,2024-02-13 10:00:00,150.43800000000002,win,1.0917068889864117,wickdiffs_W_H1_ALL_20251228_173936.csv
