mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
M,ALL,H4,H4,GBPAUD,long,2015-09-01,2015-10-01,2.07911,2.156065,0.07695499999999988,2015-10-12 13:00:00,2015-10-12 17:00:00,2.07911,2.08115,2015-11-24 14:00:00,2.08319,2.23302,1.9679361538461542,2015-12-24 14:00:00,2.05272,loss,-0.26437295601682154,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,248.4909090909088,1.0,30,0.9,1.3,1
M,ALL,H4,H4,EURCHF,short,2015-09-01,2015-10-01,1.087825,1.104965,0.017139999999999933,2015-10-14 05:00:00,2015-10-14 09:00:00,1.091725,1.09174,2015-11-27 10:00:00,1.09022,1.070685,1.106679,2015-12-27 22:00:00,1.08174,win,0.5152196366729475,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,66.5212121212121,1.0,30,0.9,1.3,2
M,ALL,H4,H4,CADJPY,short,2015-10-01,2015-11-02,92.233,93.262,1.0289999999999964,2015-11-20 10:00:00,2015-11-20 14:00:00,92.4275,92.5605,2015-12-01 06:00:00,92.3385,91.20400000000001,93.3649,2015-12-07 14:00:00,91.20400000000001,win,1.1053195635229716,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,93.65454545454544,1.0,30,0.9,1.3,3
M,ALL,H4,H4,GBPCAD,long,2015-09-01,2015-10-01,1.9734,2.01353,0.04012999999999978,2015-10-13 21:00:00,2015-10-14 01:00:00,1.98536,1.985615,2015-12-03 02:00:00,1.98706,2.05366,1.935829230769231,2015-12-09 14:00:00,2.05366,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,165.625,1.0,30,0.9,1.3,4
M,ALL,H4,H4,NZDJPY,short,2015-10-01,2015-11-02,81.7355,82.6935,0.9579999999999984,2015-10-26 17:00:00,2015-10-26 21:00:00,82.216,82.2205,2015-12-03 06:00:00,82.21,80.7775,83.31192307692307,2015-12-04 14:00:00,83.31192307692307,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,102.5030303030305,1.0,30,0.9,1.3,5
M,ALL,H4,H4,NZDJPY,long,2015-11-02,2015-12-01,79.476,81.042,1.5660000000000025,2015-11-18 14:00:00,2015-11-18 18:00:00,79.476,79.4895,2016-01-05 14:00:00,79.6685,82.608,77.40734615384613,2016-01-08 14:00:00,77.40734615384613,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,95.2136363636365,1.0,30,0.9,1.3,1
M,ALL,H4,H4,USDJPY,long,2015-09-01,2015-10-01,118.0645,119.8815,1.8170000000000073,2015-10-15 13:00:00,2015-10-15 17:00:00,118.2325,118.4075,2016-01-05 22:00:00,118.569,121.69850000000001,116.1616923076923,2016-01-20 06:00:00,116.1616923076923,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,79.175,1.0,30,0.9,1.3,2
M,ALL,H4,H4,EURJPY,long,2015-03-02,2015-04-01,126.097,128.933,2.8359999999999985,2015-04-14 05:00:00,2015-04-14 09:00:00,126.097,126.252,2016-01-21 10:00:00,126.2545,131.769,122.0125769230769,2016-01-29 02:00:00,131.769,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,106.357575757576,1.0,30,0.9,1.3,1
M,ALL,H4,H4,EURUSD,short,2015-12-01,2016-01-01,1.08697,1.10596,0.018990000000000062,2016-01-20 02:00:00,2016-01-20 06:00:00,1.09609,1.09761,2016-02-03 10:00:00,1.09556,1.06798,1.1167753846153847,2016-02-04 10:00:00,1.1167753846153847,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,99.73484848484868,1.0,30,0.9,1.3,1
M,ALL,H4,H4,USDJPY,long,2015-12-01,2016-01-01,115.973,120.2065,4.2335000000000065,2016-01-20 14:00:00,2016-01-20 18:00:00,116.2025,116.399,2016-02-05 10:00:00,117.0065,124.44000000000001,111.28842307692307,2016-02-11 06:00:00,111.28842307692307,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,96.32727272727276,1.0,30,0.9,1.3,1
