mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,planned_rr,wickdiff_special,wickdiff_file,dyn_min_sl_pips,VOL,active_trades_at_entry
M,ALL,H4,H4,USDJPY,short,2017-04-03,2017-05-01,111.52,114.379,2.859000000000009,2017-05-25 09:00:00,2017-05-25 13:00:00,111.942,111.95,2017-06-26 17:00:00,111.876,108.66099999999999,114.6649,2017-07-26 17:00:00,112.154,time_exit,-0.09968087776542428,time_stop_30d,1.1527842518555773,,wickdiffs_M_H4_ALL_20260121_202249.csv,88.22803030303052,1.0,1
M,ALL,H4,H4,EURNZD,short,2017-05-01,2017-06-01,1.58725,1.62374,0.03648999999999991,2017-06-01 17:00:00,2017-06-01 21:00:00,1.58871,1.58909,2017-07-11 21:00:00,1.58778,1.5507600000000001,1.627389,2017-07-13 09:00:00,1.5507600000000001,win,0.9346360675603985,tp_hit,0.9346360675603985,,wickdiffs_M_H4_ALL_20260121_202249.csv,136.6795454545456,1.0,2
M,ALL,H4,H4,USDCAD,long,2017-07-03,2017-08-01,1.24142,1.247955,0.0065349999999999575,2017-08-01 05:00:00,2017-08-01 09:00:00,1.2451,1.24551,2017-09-01 01:00:00,1.246145,1.2544899999999999,1.2370144696969698,2017-09-01 09:00:00,1.2370144696969698,loss,-1.0,sl_hit,0.9139666287762294,,wickdiffs_M_H4_ALL_20260121_202249.csv,91.3053030303032,1.0,1
M,ALL,H4,H4,EURCAD,long,2017-07-03,2017-08-01,1.44791,1.47784,0.029930000000000012,2017-08-22 09:00:00,2017-08-22 13:00:00,1.47274,1.47303,2017-09-01 09:00:00,1.47528,1.50777,1.444917,2017-09-14 01:00:00,1.444917,loss,-1.0,sl_hit,1.070052366366967,,wickdiffs_M_H4_ALL_20260121_202249.csv,123.4204545454545,1.0,1
M,ALL,H4,H4,AUDNZD,short,2016-03-01,2016-04-01,1.108245,1.13338,0.02513500000000013,2016-04-27 17:00:00,2016-04-27 21:00:00,1.11205,1.11234,2017-09-01 09:00:00,1.111215,1.0831099999999998,1.1358935000000001,2017-09-21 13:00:00,1.0831099999999998,win,1.1388455538221616,tp_hit,1.1388455538221616,,wickdiffs_M_H4_ALL_20260121_202249.csv,70.15303030303036,1.0,2
M,ALL,H4,H4,USDCAD,short,2017-08-01,2017-09-01,1.24825,1.27784,0.029590000000000005,2017-09-29 13:00:00,2017-09-29 17:00:00,1.24959,1.25328,2017-10-02 01:00:00,1.249035,1.21866,1.280799,2017-10-25 13:00:00,1.280799,loss,-1.0,sl_hit,0.9562712504722233,INV-VAL,wickdiffs_M_H4_ALL_20260121_202249.csv,98.48787878787893,1.0,1
M,ALL,H4,H4,GBPJPY,short,2017-11-01,2017-12-01,152.2275,153.414,1.1864999999999952,2017-12-29 14:00:00,2017-12-29 18:00:00,152.357,152.516,2018-01-01 22:00:00,152.332,151.041,153.58825757575758,2018-01-05 10:00:00,153.58825757575758,loss,-1.0,sl_hit,1.0276554943133143,,wickdiffs_M_H4_ALL_20260121_202249.csv,125.6257575757575,1.0,1
M,ALL,H4,H4,NZDCHF,short,2017-12-01,2018-01-01,0.6909,0.70949,0.018589999999999995,2018-01-31 10:00:00,2018-01-31 14:00:00,0.6924,0.69254,2018-03-09 10:00:00,0.691045,0.67231,0.711349,2018-04-08 21:00:00,0.69748,time_exit,-0.3169326241134738,time_stop_30d,0.9227245862884194,,wickdiffs_M_H4_ALL_20260121_202249.csv,60.08636363636369,1.0,1
M,ALL,H4,H4,EURNZD,long,2018-01-01,2018-02-01,1.65217,1.685695,0.03352500000000003,2018-02-26 02:00:00,2018-02-26 06:00:00,1.67834,1.67976,2018-04-05 09:00:00,1.680055,1.71922,1.6488174999999998,2018-04-24 13:00:00,1.71922,win,1.2537815126050285,tp_hit,1.2537815126050285,,wickdiffs_M_H4_ALL_20260121_202249.csv,125.3030303030302,1.0,2
M,ALL,H4,H4,AUDUSD,long,2018-04-02,2018-05-01,0.74126,0.75299,0.011730000000000018,2018-05-29 05:00:00,2018-05-29 09:00:00,0.75096,0.75174,2018-06-01 09:00:00,0.7529,0.7647200000000001,0.740087,2018-06-04 09:00:00,0.7647200000000001,win,0.9225005853430177,tp_hit,0.9225005853430177,,wickdiffs_M_H4_ALL_20260121_202249.csv,59.29545454545456,1.0,1
