mode,wd_variant,wd_entry_ltf,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,planned_rr,wickdiff_file,dyn_min_sl_pips,VOL
M,ALL,H1,H1,H4,AUDJPY,long,2017-08-01,2017-09-01,85.454,87.385,1.9310000000000116,2017-09-10 23:00:00,2017-09-11 00:00:00,87.102,87.105,2017-10-27 01:00:00,87.215,89.31600000000002,85.26089999999999,2017-11-17 02:00:00,85.26089999999999,loss,-1.0,1.0751752725039667,wickdiffs_M_H1_ALL_20260126_192005.csv,74.73939393939386,1.0
M,ALL,H4,H4,H4,AUDJPY,long,2023-12-01,2024-01-01,93.74,96.04,2.3000000000000114,2023-12-18 22:00:00,2023-12-19 02:00:00,95.485,95.664,2024-02-01 06:00:00,95.818,98.34000000000002,93.50999999999999,2024-02-20 06:00:00,98.34000000000002,win,1.092720970537267,1.092720970537267,wickdiffs_M_H4_ALL_20260121_202249.csv,79.89242424242418,1.0
M,ALL,H4,H4,H4,AUDJPY,long,2024-07-01,2024-08-01,90.139,98.066,7.927000000000007,2024-08-09 17:00:00,2024-08-11 21:00:00,96.22,96.341,2024-09-04 21:00:00,96.618,105.99300000000001,89.3463,2025-04-04 09:00:00,89.3463,loss,-1.0,1.289244605800572,wickdiffs_M_H4_ALL_20260121_202249.csv,122.010606060606,1.0
M,ALL,H4,H4,H4,AUDJPY,short,2016-08-01,2016-09-01,77.7505,79.132,1.3815000000000026,2016-09-09 09:00:00,2016-09-09 13:00:00,78.001,78.118,2016-10-03 17:00:00,77.994,76.369,79.27015,2016-10-14 05:00:00,79.27015,loss,-1.0,1.2733612819809572,wickdiffs_M_H4_ALL_20260121_202249.csv,95.92878787878784,1.0
M,ALL,H4,H4,H4,AUDJPY,short,2016-11-01,2016-12-01,84.52,87.535,3.0150000000000006,2016-12-28 02:00:00,2016-12-28 06:00:00,84.844,84.866,2017-01-03 02:00:00,84.8395,81.505,87.8365,2017-02-15 06:00:00,87.8365,loss,-1.0,1.1126126126126146,wickdiffs_M_H4_ALL_20260121_202249.csv,97.43106060606064,1.0
M,ALL,H1,H1,H4,AUDJPY,short,2018-05-01,2018-06-01,82.349,84.538,2.188999999999993,2018-06-15 05:00:00,2018-06-15 06:00:00,82.776,82.847,2018-07-09 17:00:00,82.754,80.16000000000001,84.7569,2018-08-13 01:00:00,80.16000000000001,win,1.2951220729941575,1.2951220729941575,wickdiffs_M_H1_ALL_20260126_192005.csv,75.53939393939397,1.0
M,ALL,H1,H1,H4,AUDJPY,short,2019-01-01,2019-02-01,79.2,79.844,0.6439999999999912,2019-02-25 11:00:00,2019-02-25 12:00:00,79.474,79.532,2019-03-01 10:00:00,79.453,78.55600000000001,80.32362121212121,2019-03-06 02:00:00,78.55600000000001,win,1.0302988113677005,1.0302988113677005,wickdiffs_M_H1_ALL_20260126_192005.csv,87.0621212121212,1.0
M,ALL,H1,H1,H4,AUDJPY,short,2023-01-02,2023-02-01,91.767,93.048,1.281000000000006,2023-02-23 13:00:00,2023-02-23 14:00:00,92.221,92.292,2023-03-01 06:00:00,91.87,90.48599999999999,93.1761,2023-03-07 14:00:00,90.48599999999999,win,1.0596432126177275,1.0596432126177275,wickdiffs_M_H1_ALL_20260126_192005.csv,114.0242424242425,1.0
M,ALL,H1,H1,H4,AUDNZD,long,2015-07-01,2015-08-03,1.089805,1.10786,0.018055000000000154,2015-08-27 07:00:00,2015-08-27 08:00:00,1.101615,1.10188,2015-09-03 01:00:00,1.10627,1.1259150000000002,1.0879995,2015-09-10 13:00:00,1.1259150000000002,win,1.075230562929315,1.075230562929315,wickdiffs_M_H1_ALL_20260126_192005.csv,112.7863636363636,1.0
M,ALL,H4,H4,H4,AUDNZD,long,2016-02-01,2016-03-01,1.05719,1.083445,0.026254999999999917,2016-03-01 18:00:00,2016-03-01 22:00:00,1.0801,1.08188,2016-05-03 01:00:00,1.083195,1.1097,1.0545645000000001,2016-06-03 09:00:00,1.0545645000000001,loss,-1.0,0.9257609891549293,wickdiffs_M_H4_ALL_20260121_202249.csv,96.16666666666688,1.0
