pair,mode,journal_label,ltf,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_width,pivot_first_touch_time,zone_first_time,zone_second_time,zone_low,zone_high,zone_width,zone_pct_of_pivot,entry_time,entry_price,sl_level,tp_level,sl_distance,tp_distance,rr_planned,exit_time,exit_price,exit_mode,outcome_reason,R_result
GBPCAD,W,W_H4,H4,long,2018-11-26,2018-12-03,1.67221,1.69465,0.022440000000000015,2018-12-10,2018-12-03 10:00:00,2018-12-03 14:00:00,1.67221,1.67272,0.00051,0.0227272727272731,2018-12-12 02:00:00,1.67402,1.6451139597315436,1.71709,0.028906040268456338,0.04306999999999994,1.49,2018-12-21 14:00:00,1.71709,TP,hit_tp_first,1.49
GBPCAD,W,W_H4,H4,short,2018-12-03,2018-12-10,1.69529,1.7176,0.022310000000000052,2018-12-17,2018-12-06 14:00:00,2018-12-06 18:00:00,1.71416,1.7176,0.0034400000000001,0.1541909457642358,2018-12-20 18:00:00,1.70958,1.734143758389262,1.67298,0.02456375838926187,0.03660000000000019,1.49,2018-12-28 18:00:00,1.734143758389262,SL,hit_sl_first,-1.0
USDCHF,W,W_H4,H4,long,2018-11-19,2018-11-26,0.99094,0.99739,0.006449999999999956,2018-12-03,2018-11-29 02:00:00,2018-11-29 06:00:00,0.9918,0.99196,0.0001599999999999,0.0248062015503781,2018-12-06 14:00:00,0.99245,0.9848057046979868,1.0038399999999998,0.007644295302013281,0.01138999999999979,1.49,2018-12-20 18:00:00,0.9848057046979868,SL,hit_sl_first,-1.0
USDCHF,W,W_H4,H4,long,2018-12-03,2018-12-10,0.98631,0.99092,0.004610000000000003,2018-12-17,2018-12-11 06:00:00,2018-12-11 10:00:00,0.98631,0.9867,0.00039,0.084598698481562,2018-12-20 10:00:00,0.98998,0.98498,0.99553,0.005,0.005550000000000055,1.110000000000011,2018-12-20 18:00:00,0.98498,SL,hit_sl_first,-1.0
CADCHF,W,W_H4,H4,long,2018-12-03,2018-12-10,0.73526,0.7438,0.008539999999999992,2018-12-17,2018-12-11 06:00:00,2018-12-11 10:00:00,0.73526,0.73566,0.0003999999999999,0.04683840749414,2018-12-18 18:00:00,0.73712,0.7269052348993289,0.75234,0.01021476510067115,0.015220000000000011,1.49,2018-12-24 14:00:00,0.7269052348993289,SL,hit_sl_first,-1.0
EURCHF,W,W_H4,H4,long,2018-11-05,2018-11-12,1.13346,1.13965,0.00619000000000014,2018-11-19,2018-11-15 10:00:00,2018-11-15 14:00:00,1.13448,1.13538,0.0009000000000001,0.1453957996769148,2018-11-30 02:00:00,1.13554,1.1286272483221476,1.1458400000000002,0.006912751677852482,0.010300000000000198,1.49,2018-12-06 14:00:00,1.1286272483221476,SL,hit_sl_first,-1.0
EURCHF,W,W_H4,H4,long,2018-12-10,2018-12-17,1.1225,1.12843,0.005929999999999991,2018-12-24,2018-12-14 10:00:00,2018-12-14 14:00:00,1.12428,1.12446,0.00018,0.0303541315345816,2018-12-25 22:00:00,1.12614,1.12062322147651,1.13436,0.005516778523490011,0.008220000000000116,1.49,2019-01-02 22:00:00,1.12062322147651,SL,hit_sl_first,-1.0
AUDCHF,W,W_H4,H4,short,2018-10-15,2018-10-22,0.70906,0.71204,0.0029799999999999827,2018-10-29,2018-10-19 09:00:00,2018-10-19 13:00:00,0.71164,0.71204,0.0003999999999999,0.134228187919449,2018-10-30 05:00:00,0.711,0.716,0.70608,0.005,0.0049199999999999244,0.9839999999999849,2018-10-31 21:00:00,0.716,SL,hit_sl_first,-1.0
AUDCHF,W,W_H4,H4,long,2018-10-22,2018-10-29,0.7021,0.7069,0.0048000000000000265,2018-12-17,2018-10-26 01:00:00,2018-10-26 05:00:00,0.7022,0.7025,0.0002999999999999,0.0624999999999927,2018-12-21 10:00:00,0.70383,0.6985481208053691,0.7117,0.005281879194630901,0.007870000000000044,1.49,2018-12-24 10:00:00,0.6985481208053691,SL,hit_sl_first,-1.0
AUDCHF,W,W_H4,H4,long,2018-11-19,2018-11-26,0.71675,0.72136,0.004610000000000003,2018-12-03,2018-11-27 14:00:00,2018-11-27 18:00:00,0.7196,0.71968,7.999999999996898e-05,0.0173535791756982,2018-12-06 02:00:00,0.72034,0.71534,0.72597,0.005,0.005630000000000024,1.1260000000000048,2018-12-06 14:00:00,0.71534,SL,hit_sl_first,-1.0
EURJPY,W,W_H4,H4,short,2018-11-05,2018-11-12,128.999,130.148,1.149000000000001,2018-11-19,2018-11-09 10:00:00,2018-11-09 14:00:00,129.293,129.37,0.0769999999999981,0.0670147954743238,2018-11-29 22:00:00,129.167,130.2629,127.85,1.0959000000000003,1.3170000000000073,1.2017519846701403,2018-12-04 14:00:00,127.85,TP,hit_tp_first,1.2017519846701403
EURJPY,W,W_H4,H4,short,2018-11-26,2018-12-03,128.43,129.298,0.867999999999995,2018-12-10,2018-11-30 02:00:00,2018-11-30 06:00:00,129.234,129.268,0.0339999999999918,0.0391705069124331,2018-12-13 06:00:00,129.101,130.13388590604026,127.56200000000001,1.03288590604026,1.5389999999999873,1.49,2018-12-19 18:00:00,127.56200000000001,TP,hit_tp_first,1.49
AUDNZD,W,W_H4,H4,long,2018-11-12,2018-11-19,1.05898,1.066,0.007020000000000026,2018-11-26,2018-11-21 10:00:00,2018-11-21 14:00:00,1.06012,1.06092,0.0008000000000001,0.1139601139601326,2018-12-04 10:00:00,1.06184,1.0543366442953017,1.07302,0.007503355704698114,0.01118000000000019,1.49,2018-12-04 22:00:00,1.0543366442953017,SL,hit_sl_first,-1.0
GBPUSD,W,W_H4,H4,long,2018-10-22,2018-10-29,1.26962,1.28294,0.013319999999999999,2018-11-12,2018-10-31 09:00:00,2018-10-31 13:00:00,1.27284,1.27332,0.00048,0.0360360360360387,2018-11-15 14:00:00,1.27479,1.2603806040268457,1.29626,0.014409395973154281,0.021469999999999878,1.49,2018-12-10 14:00:00,1.2603806040268457,SL,hit_sl_first,-1.0
GBPUSD,W,W_H4,H4,long,2018-12-10,2018-12-17,1.24771,1.25876,0.011050000000000004,2018-12-31,2018-12-14 10:00:00,2018-12-14 14:00:00,1.25297,1.25368,0.0007099999999999,0.0642533936651573,2019-01-02 22:00:00,1.25482,1.2447595973154362,1.26981,0.010060402684563798,0.014990000000000059,1.49,2019-01-04 14:00:00,1.26981,TP,hit_tp_first,1.49
AUDCAD,W,W_H4,H4,short,2018-10-15,2018-10-22,0.93276,0.93658,0.0038199999999999346,2018-10-29,2018-10-19 09:00:00,2018-10-19 13:00:00,0.936,0.93658,0.0005799999999999,0.1518324607329643,2018-10-31 21:00:00,0.93474,0.93974,0.9289400000000001,0.005,0.005799999999999916,1.1599999999999833,2018-11-01 09:00:00,0.93974,SL,hit_sl_first,-1.0
AUDCAD,W,W_H4,H4,long,2018-11-19,2018-11-26,0.95278,0.95747,0.004690000000000083,2018-12-10,2018-11-26 18:00:00,2018-11-26 22:00:00,0.95597,0.95641,0.0004399999999999,0.0938166311300614,2018-12-20 02:00:00,0.95662,0.95162,0.9621600000000001,0.005,0.0055400000000001,1.10800000000002,2018-12-20 10:00:00,0.9621600000000001,TP,hit_tp_first,1.10800000000002
AUDCAD,W,W_H4,H4,long,2018-12-03,2018-12-10,0.9567,0.96014,0.0034399999999999986,2018-12-17,2018-12-14 10:00:00,2018-12-14 14:00:00,0.95728,0.95766,0.0003799999999999,0.1104651162790511,2018-12-19 18:00:00,0.95826,0.95326,0.96358,0.005,0.005319999999999991,1.0639999999999983,2019-01-02 14:00:00,0.95326,SL,hit_sl_first,-1.0
AUDCAD,W,W_H4,H4,short,2018-12-10,2018-12-17,0.96046,0.97032,0.00985999999999998,2018-12-24,2018-12-21 10:00:00,2018-12-21 14:00:00,0.96176,0.96288,0.00112,0.1135902636916848,2018-12-28 10:00:00,0.96172,0.971306,0.9506,0.009585999999999983,0.011120000000000019,1.1600250365115834,2019-01-02 14:00:00,0.9506,TP,hit_tp_first,1.1600250365115834
GBPNZD,W,W_H4,H4,short,2018-11-19,2018-11-26,1.88988,1.89869,0.008809999999999985,2018-12-24,2018-11-26 22:00:00,2018-11-27 02:00:00,1.89546,1.8961,0.0006399999999999,0.0726447219069211,2018-12-28 18:00:00,1.89346,1.9017754362416106,1.88107,0.008315436241610671,0.012389999999999901,1.49,2018-12-31 10:00:00,1.9017754362416106,SL,hit_sl_first,-1.0
CHFJPY,W,W_H4,H4,short,2018-10-15,2018-10-22,112.99,113.704,0.7139999999999986,2018-10-29,2018-10-22 17:00:00,2018-10-22 21:00:00,113.292,113.308,0.0160000000000053,0.0224089635854417,2018-11-07 02:00:00,113.095,113.77539999999999,112.276,0.6803999999999917,0.8190000000000026,1.2037037037037224,2018-11-16 10:00:00,112.276,TP,hit_tp_first,1.2037037037037224
CHFJPY,W,W_H4,H4,short,2018-11-05,2018-11-12,113.178,113.746,0.5679999999999978,2018-11-19,2018-11-07 10:00:00,2018-11-07 14:00:00,113.662,113.746,0.0839999999999889,0.1478873239436431,2018-11-21 10:00:00,113.612,114.2844832214765,112.61,0.672483221476507,1.0019999999999953,1.49,2018-11-28 18:00:00,114.2844832214765,SL,hit_sl_first,-1.0
GBPJPY,W,W_H4,H4,long,2018-10-22,2018-10-29,142.777,143.545,0.7680000000000007,2018-12-03,2018-10-30 13:00:00,2018-10-30 17:00:00,143.22,143.298,0.0780000000000029,0.1015625000000037,2018-12-04 14:00:00,143.41,142.7002,144.313,0.7098000000000013,0.9029999999999916,1.2721893491124119,2018-12-05 10:00:00,144.313,TP,hit_tp_first,1.2721893491124119
AUDJPY,W,W_H4,H4,long,2018-11-19,2018-11-26,81.201,81.7,0.49900000000000944,2018-12-03,2018-11-20 18:00:00,2018-11-20 22:00:00,81.201,81.29,0.0890000000000128,0.1783567134268761,2018-12-06 02:00:00,81.527,81.027,82.19900000000001,0.5,0.6720000000000113,1.3440000000000225,2018-12-06 14:00:00,81.027,SL,hit_sl_first,-1.0
EURCAD,W,W_H4,H4,long,2018-10-29,2018-11-05,1.48481,1.49282,0.008010000000000073,2018-11-12,2018-10-31 09:00:00,2018-10-31 13:00:00,1.48481,1.48618,0.00137,0.17103620474408,2018-11-12 06:00:00,1.48698,1.477684697986577,1.50083,0.009295302013422912,0.01385000000000014,1.49,2018-11-14 14:00:00,1.50083,TP,hit_tp_first,1.49
EURCAD,W,W_H4,H4,short,2018-11-12,2018-11-19,1.50145,1.51694,0.015490000000000004,2018-11-26,2018-11-21 10:00:00,2018-11-21 14:00:00,1.51675,1.51694,0.0001899999999999,0.0122659780503494,2018-12-05 18:00:00,1.51515,1.5347406040268456,1.48596,0.01959060402684567,0.02919000000000005,1.4900000000000002,2018-12-19 06:00:00,1.5347406040268456,SL,hit_sl_first,-1.0
EURCAD,W,W_H4,H4,long,2018-11-19,2018-11-26,1.49518,1.50083,0.005650000000000155,2018-12-03,2018-11-25 22:00:00,2018-11-26 02:00:00,1.49756,1.49764,8.000000000008001e-05,0.014159292035412,2018-12-03 06:00:00,1.498,1.4923087248322147,1.5064800000000003,0.005691275167785413,0.008480000000000265,1.49,2018-12-03 10:00:00,1.4923087248322147,SL,hit_sl_first,-1.0
EURCAD,W,W_H4,H4,short,2018-12-03,2018-12-10,1.51625,1.53081,0.014559999999999906,2018-12-17,2018-12-11 06:00:00,2018-12-11 10:00:00,1.527,1.52738,0.00038,0.0260989010989044,2018-12-18 10:00:00,1.52668,1.543451812080537,1.5016900000000002,0.01677181208053681,0.024989999999999846,1.49,2018-12-20 06:00:00,1.543451812080537,SL,hit_sl_first,-1.0
