mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
W,ALL,H4,H4,EURAUD,long,2016-11-21,2016-11-28,1.41368,1.42347,0.009789999999999965,2016-11-28 22:00:00,2016-11-29 02:00:00,1.415365,1.41574,2016-12-05 02:00:00,1.419005,1.43326,1.4047140151515152,2016-12-05 10:00:00,1.43326,win,0.9974819895992836,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,142.9098484848487,1.0,,2
W,ALL,H4,H4,USDCAD,long,2016-10-10,2016-10-17,1.300615,1.3139,0.013284999999999991,2016-10-19 17:00:00,2016-10-19 21:00:00,1.31128,1.31137,2016-12-12 06:00:00,1.312985,1.327185,1.2992865,2016-12-14 18:00:00,1.327185,win,1.036609847793549,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,101.410606060606,1.0,,2
W,ALL,H4,H4,GBPJPY,long,2017-01-09,2017-01-16,136.472,139.522,3.049999999999983,2017-01-18 10:00:00,2017-01-18 14:00:00,139.142,139.286,2017-02-06 18:00:00,139.3225,142.57199999999997,136.167,2017-02-12 22:00:00,142.57199999999997,win,1.0297892568531117,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,190.114393939394,1.0,,1
W,ALL,H4,H4,GBPCHF,short,2017-02-06,2017-02-13,1.25172,1.26074,0.009020000000000028,2017-02-16 06:00:00,2017-02-16 10:00:00,1.25438,1.2544,2017-02-21 06:00:00,1.254305,1.2427,1.2660293181818183,2017-03-01 14:00:00,1.2427,win,0.9898230174268778,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,117.2431818181819,1.0,,1
W,ALL,H4,H4,GBPJPY,short,2017-02-06,2017-02-13,141.378,142.816,1.4380000000000166,2017-02-16 22:00:00,2017-02-17 02:00:00,141.908,141.95,2017-02-21 22:00:00,141.845,139.93999999999997,143.65717424242425,2017-02-24 14:00:00,139.93999999999997,win,1.0512234173749266,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,181.2174242424241,1.0,,2
W,ALL,H4,H4,GBPUSD,short,2017-02-06,2017-02-13,1.24876,1.25826,0.009499999999999842,2017-02-14 02:00:00,2017-02-14 06:00:00,1.25477,1.25484,2017-02-23 14:00:00,1.254465,1.2392600000000003,1.2671816666666667,2017-02-26 22:00:00,1.2392600000000003,win,1.1956749672345766,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,127.1666666666666,1.0,WD-INV-VAL,3
W,ALL,H4,H4,USDCAD,long,2017-03-13,2017-03-20,1.32636,1.33509,0.008730000000000127,2017-03-23 13:00:00,2017-03-23 17:00:00,1.332,1.33268,2017-03-27 01:00:00,1.33272,1.3438200000000002,1.3235316666666666,2017-04-04 05:00:00,1.3438200000000002,win,1.2080536912752031,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,91.8833333333334,1.0,,1
W,ALL,H4,H4,AUDNZD,long,2017-03-20,2017-03-27,1.07936,1.08464,0.005279999999999951,2017-03-27 17:00:00,2017-03-27 21:00:00,1.0805,1.0812,2017-04-04 09:00:00,1.08252,1.08992,1.076215303030303,2017-04-05 17:00:00,1.08992,win,1.173728100742604,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,63.04696969696968,1.0,,1
W,ALL,H4,H4,NZDUSD,short,2017-03-20,2017-03-27,0.70298,0.709,0.006019999999999914,2017-03-29 17:00:00,2017-03-29 21:00:00,0.70389,0.70455,2017-04-18 09:00:00,0.70338,0.6969600000000001,0.709602,2017-04-25 05:00:00,0.6969600000000001,win,1.031822565091598,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,62.20530303030283,1.0,,1
W,ALL,H4,H4,GBPAUD,short,2016-09-05,2016-09-12,1.7595,1.78022,0.02071999999999985,2016-09-15 21:00:00,2016-09-16 01:00:00,1.76423,1.76462,2017-05-09 05:00:00,1.759855,1.7387800000000002,1.782292,2017-05-12 05:00:00,1.7387800000000002,win,0.9392966974194276,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,147.9333333333334,1.0,,1
