mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
M,ALL,H4,H4,EURNZD,short,2017-05-01,2017-06-01,1.58725,1.62374,0.03648999999999991,2017-06-01 17:00:00,2017-06-01 21:00:00,1.58871,1.58909,2017-07-11 21:00:00,1.58778,1.5507600000000001,1.627389,2017-07-13 09:00:00,1.5507600000000001,win,0.9346360675603985,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,136.6795454545456,1.0,,1
M,ALL,H4,H4,AUDNZD,short,2016-03-01,2016-04-01,1.108245,1.13338,0.02513500000000013,2016-04-27 17:00:00,2016-04-27 21:00:00,1.11205,1.11234,2017-09-01 09:00:00,1.111215,1.0831099999999998,1.1358935000000001,2017-09-21 13:00:00,1.0831099999999998,win,1.1388455538221616,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,70.15303030303036,1.0,,1
M,ALL,H4,H4,AUDUSD,long,2018-04-02,2018-05-01,0.74126,0.75299,0.011730000000000018,2018-05-29 05:00:00,2018-05-29 09:00:00,0.75096,0.75174,2018-06-01 09:00:00,0.7529,0.7647200000000001,0.740087,2018-06-04 09:00:00,0.7647200000000001,win,0.9225005853430177,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,59.29545454545456,1.0,,1
M,ALL,H4,H4,USDCAD,long,2018-04-02,2018-05-01,1.25279,1.28435,0.03156000000000003,2018-05-31 05:00:00,2018-05-31 09:00:00,1.28182,1.28364,2018-10-01 01:00:00,1.28408,1.3159100000000001,1.2496340000000001,2018-10-26 13:00:00,1.3159100000000001,win,0.9240550426754934,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,82.82424242424253,1.0,,1
M,ALL,H4,H4,GBPUSD,short,2018-09-03,2018-10-01,1.30302,1.32992,0.026899999999999924,2018-10-22 01:00:00,2018-10-22 05:00:00,1.30758,1.30908,2018-11-06 06:00:00,1.30575,1.2761200000000001,1.33261,2018-11-15 10:00:00,1.2761200000000001,win,1.1031273268801083,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,104.5818181818182,1.0,,1
M,ALL,H4,H4,EURGBP,short,2019-07-01,2019-08-01,0.91071,0.93246,0.021749999999999936,2019-08-22 01:00:00,2019-08-22 05:00:00,0.91472,0.91576,2019-09-03 05:00:00,0.91303,0.8889600000000001,0.934635,2019-09-12 09:00:00,0.8889600000000001,win,1.114093959731541,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,57.59696969696974,1.0,,1
M,ALL,H4,H4,NZDCHF,long,2019-08-01,2019-09-02,0.6163,0.62407,0.007770000000000055,2019-09-25 21:00:00,2019-09-26 01:00:00,0.6215,0.62186,2019-10-01 05:00:00,0.623,0.6318400000000001,0.6155229999999999,2019-10-04 01:00:00,0.6318400000000001,win,1.1822923632472904,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,52.05,1.0,,1
M,ALL,H4,H4,AUDCHF,long,2019-08-01,2019-09-02,0.65006,0.66682,0.016759999999999997,2019-09-03 09:00:00,2019-09-03 13:00:00,0.66514,0.6653,2019-10-01 13:00:00,0.66624,0.68358,0.648384,2019-10-31 01:00:00,0.68358,win,0.9711021505376243,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,54.49242424242431,1.0,,2
M,ALL,H4,H4,USDCAD,short,2019-11-01,2019-12-02,1.32782,1.33278,0.0049600000000000755,2019-12-04 02:00:00,2019-12-04 06:00:00,1.32914,1.3298,2020-02-03 14:00:00,1.32852,1.32286,1.3335781818181818,2020-02-17 10:00:00,1.32286,win,1.1189791516894299,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,50.58181818181826,1.0,,1
M,ALL,H4,H4,CHFJPY,short,2020-01-01,2020-02-03,112.47,114.389,1.918999999999997,2020-02-28 06:00:00,2020-02-28 10:00:00,112.816,113.06,2020-03-02 14:00:00,112.662,110.551,114.5809,2020-03-09 01:00:00,110.551,win,1.1001094376986873,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,58.25075757575758,1.0,,1
