pair,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,pivot_touch_time,ltf,wd_first_time,wd_second_time,wd_low,wd_high,wd_range,wd_pct_of_pivot,htf_wd_low,htf_wd_high,pending_until_pivot_touch
AUDUSD,short,2024-04-29 00:00,2024-05-06 00:00,0.66097,0.66494,0.003970000000000029,2024-05-13 00:00,H4,2024-05-06 21:00,2024-05-07 01:00,0.66432,0.66439,7.00000000000145e-05,0.017632241813605537,0.66439,0.66494,False
CADCHF,long,2024-04-01 00:00,2024-04-08 00:00,0.66148,0.66385,0.0023700000000000943,2024-04-15 00:00,H4,2024-04-12 09:00,2024-04-12 13:00,0.66148,0.66151,3.0000000000085514e-05,0.012658227848136845,0.66148,0.66188,False
CADCHF,long,2024-04-15 00:00,2024-04-22 00:00,0.653,0.6622,0.009199999999999986,2024-04-29 00:00,H4,2024-04-19 09:00,2024-04-19 13:00,0.65954,0.65988,0.00034000000000000696,0.03695652173913125,0.653,0.6621,False
CADCHF,long,2024-04-29 00:00,2024-05-06 00:00,0.66009,0.66142,0.0013300000000000534,2024-05-13 00:00,H4,2024-05-08 05:00,2024-05-08 09:00,0.66009,0.66034,0.0002500000000000835,0.1879699248120853,0.66009,0.66084,False
CADCHF,short,2024-01-01 00:00,2024-01-08 00:00,0.63648,0.64118,0.0046999999999999265,2024-01-15 00:00,H4,2024-01-12 06:00,2024-01-12 10:00,0.6393,0.63937,7.00000000000145e-05,0.014893617021279913,0.63937,0.64118,False
CADCHF,short,2024-02-12 00:00,2024-02-19 00:00,0.65332,0.65594,0.0026199999999999557,2024-02-26 00:00,H4,2024-02-14 06:00,2024-02-14 10:00,0.65572,0.65591,0.00019000000000002348,0.07251908396947584,0.65458,0.65594,False
CADCHF,short,2024-03-25 00:00,2024-04-01 00:00,0.66566,0.67216,0.00649999999999995,2024-04-08 00:00,H4,2024-04-04 09:00,2024-04-04 13:00,0.67138,0.67216,0.0007800000000000029,0.12000000000000137,0.66762,0.67216,False
CADCHF,short,2024-04-08 00:00,2024-04-15 00:00,0.66396,0.6685,0.0045399999999999885,2024-04-22 00:00,H4,2024-04-11 05:00,2024-04-11 09:00,0.66792,0.66836,0.00043999999999999595,0.09691629955947072,0.66569,0.6685,False
CADCHF,short,2024-04-08 00:00,2024-04-15 00:00,0.66396,0.6685,0.0045399999999999885,2024-04-22 00:00,H4,2024-04-15 09:00,2024-04-15 13:00,0.66536,0.66569,0.0003300000000000525,0.07268722466961526,0.66569,0.6685,False
CADJPY,short,2024-01-01 00:00,2024-01-08 00:00,108.254,109.238,0.9839999999999947,2024-01-15 00:00,H4,2024-01-11 10:00,2024-01-11 14:00,109.136,109.238,0.10200000000000387,0.10365853658537034,109.034,109.238,False
CADJPY,short,2024-02-19 00:00,2024-02-26 00:00,111.432,111.804,0.3719999999999999,2024-03-18 00:00,H4,2024-02-23 10:00,2024-02-23 14:00,111.768,111.804,0.036000000000001364,0.0967741935483908,111.626,111.804,False
CADJPY,short,2024-02-19 00:00,2024-02-26 00:00,111.432,111.804,0.3719999999999999,2024-03-18 00:00,H4,2024-02-26 18:00,2024-02-26 22:00,111.596,111.626,0.030000000000001137,0.08064516129032566,111.626,111.804,False
CADJPY,short,2024-03-25 00:00,2024-04-01 00:00,111.763,112.484,0.7209999999999894,2024-04-08 00:00,H4,2024-04-04 09:00,2024-04-04 13:00,112.478,112.484,0.006000000000000227,0.008321775312067011,111.91,112.484,False
CHFJPY,long,2024-01-08 00:00,2024-01-15 00:00,168.872,169.94,1.0679999999999836,2024-01-22 00:00,H4,2024-01-09 10:00,2024-01-09 14:00,168.872,169.054,0.18199999999998795,0.17041198501871793,168.872,169.878,False
CHFJPY,long,2024-01-08 00:00,2024-01-15 00:00,168.872,169.94,1.0679999999999836,2024-01-22 00:00,H4,2024-01-09 18:00,2024-01-09 22:00,169.323,169.41,0.08699999999998909,0.0814606741572944,168.872,169.878,False
CHFJPY,long,2024-02-12 00:00,2024-02-19 00:00,169.424,170.506,1.0819999999999936,2024-02-26 00:00,H4,2024-02-14 22:00,2024-02-15 02:00,169.553,169.558,0.0049999999999954525,0.004621072088720408,169.424,170.006,False
CHFJPY,long,2024-02-12 00:00,2024-02-19 00:00,169.424,170.506,1.0819999999999936,2024-02-26 00:00,H4,2024-02-20 18:00,2024-02-20 22:00,170.006,170.064,0.057999999999992724,0.05360443622919877,169.424,170.006,False
CHFJPY,long,2024-03-04 00:00,2024-03-11 00:00,167.086,167.558,0.47199999999998,2024-03-25 00:00,H4,2024-03-11 13:00,2024-03-11 17:00,167.086,167.101,0.014999999999986358,0.0317796610169216,167.086,167.533,False
CHFJPY,long,2024-03-25 00:00,2024-04-01 00:00,166.574,167.883,1.3089999999999975,2024-04-08 00:00,H4,2024-03-27 09:00,2024-03-27 13:00,166.574,166.65,0.0759999999999934,0.05805958747134725,166.574,166.77,False
CHFJPY,long,2024-04-08 00:00,2024-04-15 00:00,167.23,167.622,0.39200000000002433,2024-04-29 00:00,H4,2024-04-10 13:00,2024-04-10 17:00,167.23,167.292,0.06200000000001182,0.1581632653061428,167.23,167.584,False
